--- Sheet: Cover & Instructions ---
"RBI COMPLAINT MANAGEMENT SYSTEM 2.0
CEPC LAYOUT - TRACEABLE BACKLOG",,,,,,,
,,,,,,,
,,,,,,,
"Prepared for: Gaurav Marwaha | Chief Product Engineering Officer, ReBIT | For RBI CEPD & DIT Review",,,,,,,
,,,,,,,
Document Version: 1.0 | Generated: 2026-07-05 | Source BRD: v1.3 (23 June 2026) | For Regulated Entities NOT covered under RB-IOS 2021/2026,,,,,,,
,,,,,,,
,,,,,,,
PURPOSE,,,,,,,
"This workbook transforms the CEPC BRD into a development-ready, testable backlog for the CEPC Layout of CMS 2.0.",,,,,,,
"CEPC handles complaints against Regulated Entities (banks, NBFCs, etc.) that are NOT part of the RBI Integrated Ombudsman Scheme.",,,,,,,
,,,,,,,
SHEETS,,,,,,,
"1. User Stories     : 38 granular Connextra-format stories decomposed from role descriptions, milestones, gaps, and NFRs.",,,,,,,
"2. Test Cases       : ~152 test cases (4 per story) covering happy path, negative permission, edge/validation, and special scenarios (on leave, threshold, no email, link expiry, OCR).",,,,,,,
"3. Traceability     : Maps BRD sections, FRs, Gaps, NFRs, Business Rules to User Story IDs with coverage status.",,,,,,,
"4. Verification     : Adversarial gap analysis with assumptions, flagged ambiguities, missing NFRs, and confidence scores.",,,,,,,
,,,,,,,
KEY DECOMPOSITION APPLIED,,,,,,,
"• Role-specific: Separate stories for CEPC DO (draft + assessment + meeting + closure), Reviewer (review + limited close), In-Charge (escalation + forward), Closing Authority (final decision + reopen), Admin (user mgmt + bulk + reopen).",,,,,,,
"• Workflow: Full milestone coverage (Register → Assessment → Conciliation → Forward → Final Decision) with send-back, forward with CRPC approval, and closure communication.",,,,,,,
"• Compliance & NFR: OCR (English typed), digital signature, SLA engine, 7-day document link, Kavach SSO/RBAC, notifications, performance (3s load), security (AES-256/TLS), DPDP.",,,,,,,
"• Intelligence added: Threshold-based assignment with fallback, On Leave prevention, concurrent intake safety, no-email closure fallback, scheme (none for CEPC but legacy handling), RE Contact Person record auto-creation and alerts.",,,,,,,
,,,,,,,
CEPC vs RBIO DIFFERENCES HIGHLIGHTED,,,,,,,
• No Ombudsman/Deputy Ombudsman / Advisory / Award / Implead (those are RBIO-only).,,,,,,,
"• Closing Authority is the highest decision maker (can close under all clauses, reopen).",,,,,,,
"• In-Charge has strong routing/forward role (other office, regulatory body, RBI dept).",,,,,,,
• Contact Person (RE) has view/edit on assigned NO records + reassign rights in RE Layout.,,,,,,,
• No compensation caps or appealable clauses (not applicable to CEPC entities).,,,,,,,
,,,,,,,
RECOMMENDED NEXT STEPS,,,,,,,
"1. Review Verification sheet — several items need CEPD clarification (exact delegated closure clauses for Reviewer/In-Charge, MOM digital vs offline decision, 13-1 Notice equivalent for CEPC).",,,,,,,
"2. Prioritize Phase 1: OCR, digital signature, SLA engine, user management via Kavach, assignment logic, closure communication.",,,,,,,
3. Expand to full set (~90 stories) in grooming workshop; this set focuses on critical paths and high-risk areas.,,,,,,,
"4. Link permanent IDs (CEPC-US-XXX, CEPC-TC-XXXX) to Jira/Azure DevOps.",,,,,,,
,,,,,,,
ASSUMPTIONS,,,,,,,
• Kavach + Ekamev for auth/authz (as in RBIO).,,,,,,,
• MOM remains offline/manual in Phase 1 (BRD scope).,,,,,,,
• Threshold/assignment master data and regulatory body master provided by RBI.,,,,,,,
• No RB-IOS 2026 changes impact CEPC layout (explicitly stated).,,,,,,,
• Data migration strategy separate (NFR-005).,,,,,,,

--- Sheet: User Stories ---
US ID,Role,User Story (Connextra),BRD Reference,Priority,Story Points,Acceptance Criteria,Tags
CEPC-US-001,All CEPC Roles + RE Contact Person,"As any CEPC user or RE Contact Person, I want to login via Kavach SSO and see a role-specific dashboard with KPI cards (total assigned, nearing SLA breach amber, overdue red, pending RE response, Meeting Scheduled) and status/color filters, so that I have immediate, secure, prioritized visibility into my workload.","FR-CEPC-001, FR-CEPC-003, 5.6 (Login and Dashboard for all roles), NFR-005 (Kavach)",High,5,"• SSO via Ekamev auth + Kavach RBAC
• Role-based views and KPIs loaded
• 15-min session timeout + re-auth
• Color coding (White new, Red RE comm, Green RE response, Yellow sent back, Pink withdrawn) works with filters","Security, RBAC, Kavach, Dashboard, SLA"
CEPC-US-002,All CEPC Roles,"As any CEPC role, I want Advanced Search (Complaint Number, Complainant Name/Mobile/Email, Draft ID, Email Subject, Status, Mode of Receipt, Entity Name) and column filters on the list view, so that I can locate complaints quickly regardless of volume.","5.8 Advance Search, FR-CEPC-006",High,3,"• Partial match on name/entity
• Date range max 1 year for performance
• Results respect role/territory visibility
• Clear all filters button","Search, UX"
CEPC-US-003,All CEPC Roles + RE Contact Person,"As any user, I want real-time bell + email/SMS notifications for new assignment, status change, pending 5/10/15 days, RE response overdue (configurable), document upload link activity, duplicate complaint, and closure, so that nothing falls through the cracks and SLA compliance is maintained.","5.11 Notifications and Alerts, FR-CEPC-028",High,5,"• Notification utility templates used
• Configurable thresholds (5/10/15 days for RE response)
• Dispatch within 5 min
• Bell shows unread; deep link to complaint","Notifications, SLA, Real-time"
CEPC-US-004,CEPC Admin,"As a CEPC Admin, I want to create/edit CEPC users (DO, Reviewer, In-Charge, Closing Authority) with Employee Details, territory, role, reporting manager, and mark On Leave or bulk Active/Inactive, so that team changes are handled quickly without assignment to unavailable users.","5.6.4 CEPC Administrator - User Access Management, 5.6.5, FR-CEPC-033",High,5,"• Kavach integration for user provisioning
• Bulk actions available only to Admin
• On Leave prevents new assignments (fallback to supervisor)
• Pending complaints of absent users trigger Admin notification for reassignment
• Full audit of user changes","User Management, Admin, Kavach, Bulk"
CEPC-US-005,CEPC Admin,"As a CEPC Admin, I want to reassign one or many complaints in bulk to another active user in my territory (Change Owner) with mandatory comment, so that workload can be balanced or moved when someone is on leave or leaves the team.","5.6.4 (Reassignment of Complaints), 5.6.5",High,3,"• Only active same-territory users shown
• Audit trail (old/new owner, timestamp, comment)
• Notifications to both parties
• Closed complaints cannot be reassigned except via reopen flow","Reassignment, Workflow, Admin"
CEPC-US-006,CEPC Admin,"As a CEPC Admin, I want to reopen any closed complaint (with mandatory reason: Appellate Authority / Court Order / Correction Required) and have it auto-assigned to the original initiating DO, so that justified reconsiderations are handled with full history retention.","5.6.4 (Reopen), BR (reopen exclusively Closing Authority + Admin)",High,3,"• Only Admin + Closing Authority can reopen
• Mandatory reason + free text
• Notification to complainant + previous actors
• Full previous history visible and immutable
• Auto-assigned to original DO","Reopen, Admin, History"
CEPC-US-007,CEPC Admin,"As a CEPC Admin, I want view access to all complaint categories (CRPC Drafts, Forwarded, All, Re-Opened, Closed, Mark for Closure, Meeting Scheduled, etc.) across my region, with ability to search but not edit (except reopen), so that I have full oversight without day-to-day processing rights.","5.6.4 (View Complaints section), 5.9 Complaints List View",Medium,2,"• All status views available to Admin
• No create/edit except reopen
• Territory filtering respected","Admin Dashboard, Oversight"
