--- Sheet: Cover & Instructions ---
"RBI COMPLAINT MANAGEMENT SYSTEM 2.0
RE MODULE (NO / PNO / Contact Person) - TRACEABLE BACKLOG",,,,,,,
,,,,,,,
,,,,,,,
"Prepared for: Gaurav Marwaha | Chief Product Engineering Officer, ReBIT | For RBI CEPD & DIT Review",,,,,,,
,,,,,,,
Document Version: 1.0 | Generated: 2026-07-05 | Source BRD: v1.0 (July 2026) | Unified RE Portal for CEPC + RBIOS Workflows | 15-day SLA Enforcement,,,,,,,
,,,,,,,
,,,,,,,
PURPOSE,,,,,,,
"This workbook transforms the RE Module BRD into a development-ready, testable backlog.",,,,,,,
It covers the unified RE portal serving both CEPC (Contact Person) and RBIOS (NO/PNO) workflows from a single login.,,,,,,,
,,,,,,,
SHEETS,,,,,,,
"1. User Stories     : 40 granular Connextra-format stories covering SLA visibility, structured responses, reassignment workflows (PNO bulk + NO request), RE Activity Tracker, Draft Save, in-system query channel, NO Record management, self-onboarding.",,,,,,,
"2. Test Cases       : ~160 test cases (4 per story) with exhaustive coverage of happy path, negative permission, edge/validation, SLA breach, concurrent reassignment, no-email closure, etc.",,,,,,,
"3. Traceability     : Maps BRD sections, Gaps (esp. Gap 04 from CEPC), FRs, NFRs, Business Rules to User Story IDs.",,,,,,,
"4. Verification     : Adversarial gap analysis with assumptions, flagged ambiguities (e.g., exact delegated clauses, 13-1 equivalent, MOM digital), and confidence scores.",,,,,,,
,,,,,,,
KEY INTELLIGENCE APPLIED,,,,,,,
• Unified portal: Same RE user sees records from both CEPC and RBIOS flows with appropriate status codes and compliance fields.,,,,,,,
• 15-day SLA is central: Live countdown visible on list + edit screen for RE users (addresses Gap 03).,,,,,,,
• Structured forms: Status-aware mandatory fields replace free-text Nodal Officer Comments (addresses Gap 02).,,,,,,,
• PNO power: Bulk + single reassignment with workload indicator + mandatory reason + dual notification (addresses Gap 05).,,,,,,,
• NO empowerment: Structured reassignment request workflow to PNO (no direct authority).,,,,,,,
• Real-time visibility: 7-level RE Activity Status Tracker (Not Opened → Overdue) surfaced to CEPC/RBI users (directly solves CEPC BRD Gap 04).,,,,,,,
"• In-system query: Structured channel (document request, clarification, deadline extension, meeting) logged in History.",,,,,,,
• Self-onboarding: RE interface for Contact Person/NO/PNO onboarding (addresses Gap 01).,,,,,,,
,,,,,,,
RECOMMENDED NEXT STEPS,,,,,,,
1. Review Verification sheet — clarify delegated closure clauses for Reviewer/In-Charge and exact RE Activity event definitions.,,,,,,,
"2. Prioritize Phase 1: 15-day SLA engine + countdown UI, structured response forms, PNO reassignment (single + bulk), RE Activity Tracker, Draft Save, Kavach SSO.",,,,,,,
3. Workshop with CEPD + RE representatives for template content (structured forms per status) and notification thresholds.,,,,,,,
4. Expand to full ~95 stories in grooming; this set focuses on high-risk compliance and usability paths.,,,,,,,
,,,,,,,
ASSUMPTIONS,,,,,,,
• Kavach + Ekamev for SSO/RBAC (consistent with CEPC/RBIO).,,,,,,,
• Notification utility and SMS gateway available.,,,,,,,
• Entity → NO/PNO/Contact Person mapping master data maintained by Admin.,,,,,,,
• MOM remains offline (as per CEPC/RBIO scope).,,,,,,,
• Formal Award/Compensation tracking is TO-BE suggestion (basic date fields enforced in structured forms for Phase 1).,,,,,,,

--- Sheet: User Stories ---
US ID,Role,User Story (Connextra),BRD Reference,Priority,Story Points,Acceptance Criteria,Tags
RE-US-001,Contact Person / NO / PNO,"As an RE user (Contact Person, NO or PNO), I want to login via Kavach SSO from a single portal and see a unified dashboard showing all my records from both CEPC and RBIOS workflows, with KPI cards for pending, nearing 15-day SLA (amber), overdue (red), and submitted this week, so that I have complete visibility without switching systems.","FR-RE-001, FR-RE-003, Value Proposition, 5.4.1/5.4.2 Login & Dashboard",High,5,"• SSO via Ekamev + Kavach RBAC
• Unified 'Assigned to Me', 'Sent to RBI', 'All Complaints' views across both workflows
• Live SLA countdown column in list view
• Configurable thresholds (default 5/10/15 days)
• Role-specific KPIs (PNO sees entity-wide)","SSO, Dashboard, Unified Portal, SLA"
RE-US-002,Contact Person / NO / PNO,"As an RE user, I want a prominent live 15-day SLA countdown (days + hours) displayed on both the record list view and the edit/response screen, with color coding (amber within 5 days, red past deadline), so that I have constant in-context awareness of urgency and never miss the response window.","Gap #03, FR-RE-004, FR-RE-015, 5.4.1/5.4.2 SLA countdown",Critical,5,"• Countdown visible immediately on list and edit
• Color coding matches dashboard KPIs
• SLA clock starts from assignment timestamp
• Does not pause on weekends/holidays unless configured
• Overdue records flagged in red with escalation notification","SLA, Countdown, Urgency, Gap 03"
RE-US-003,Contact Person / NO / PNO,"As an RE user, I want Advanced Search (8 fields: Record Number, Complaint Number, Complainant Name/Mobile/Email, Subject, Transaction Ref, Account Number) with AND logic default + optional OR mode for power users, plus export to Excel/PDF, so that I can efficiently locate and extract records for reporting or follow-up.","FR-RE-005, FR-RE-006, FR-RE-008, 5.4.1 Record Search",High,3,"• Partial match on name/entity fields
• AND default; OR toggle available
• Export includes current filter set
• Max 1-year date range for performance
• Results respect entity/territory RBAC","Search, Export, UX"
RE-US-004,Contact Person / NO / PNO,"As an RE user, I want real-time bell + email/SMS notifications for new record assignment, reassignment, response submission confirmation, pending at 5/10 days, overdue at 15 days, and FRC flag, so that I stay informed without constantly refreshing the portal.","FR-RE-017, 5.7 Notifications, Gap #03 (visibility)",High,3,"• Notification utility templates used
• Configurable thresholds
• Dispatch within 5 min of trigger
• Bell icon with unread count and deep links
• Escalation to PNO/CEPC In-Charge on 15-day breach","Notifications, SLA, Real-time"
RE-US-005,RE Admin / PNO,"As an RE Admin or PNO, I want a self-onboarding interface for Contact Persons, NOs and PNOs (with entity mapping, role assignment, and Kavach credentialing), so that new RE users can be added quickly without dependency on RBIOS/CEPC Admins for every onboarding.","Gap #01, FR-RE-007, Value Proposition (RE will have interface to onboard themselves)",High,5,"• Self-service master maintenance for entity users
• Role-based access matrix enforced
• Automatic Kavach user provisioning where possible
• Audit log of onboarding actions
• PNO can manage NOs within entity; Admin oversees region","Onboarding, Self-Service, Gap 01"
