--- Sheet: Cover & Instructions ---
"RBI COMPLAINT MANAGEMENT SYSTEM 2.0
APPELLATE AUTHORITY (AA) LAYOUT - TRACEABLE BACKLOG",,,,,,,
,,,,,,,
,,,,,,,
"Prepared for: Gaurav Marwaha | Chief Product Engineering Officer, ReBIT | For RBI CEPD & DIT Review",,,,,,,
,,,,,,,
Document Version: 1.0 | Generated: 2026-07-05 | Source BRD: v1.0 (June 2026) | RBIOS 2026 Changes: Advisory Mechanism + Compensation Caps + Updated Clauses,,,,,,,
,,,,,,,
,,,,,,,
PURPOSE,,,,,,,
"This workbook transforms the Appellate Authority Layout BRD into a development-ready, testable backlog for the apex grievance redressal layer of CMS 2.0.",,,,,,,
"It covers the full 5-role workflow (AA DO → AA Reviewer → AA Secretariat → AA + AA Admin + PNO parallel input) plus RBIOS 2026 new features (Advisory, compensation validation, updated classification).",,,,,,,
,,,,,,,
SHEETS,,,,,,,
"1. User Stories     : 42 granular Connextra-format stories covering registration & immutable Appeal/Representation classification, multi-role workflow routing, Advisory mechanism (new), Hearing management with adjournment history, Award processing with cap validation, NO Record, Legal Cases (sub-judice), bulk close Representations, reopen, PNO appeal filing with CMD approval, reports, user management.",,,,,,,
"2. Test Cases       : ~168 test cases (4 per story) with exhaustive coverage of happy path, negative permission/RBAC, edge (classification override attempt, cap breach, concurrent hearing changes, sub-judice block), and performance.",,,,,,,
"3. Traceability     : Maps BRD sections, FRs, NFRs, Business Rules (classification immutable, milestone edit access, award caps, user management) to User Story IDs with coverage status.",,,,,,,
"4. Verification     : Adversarial gap analysis with assumptions, flagged ambiguities (exact RBIOS 2026 clause mapping, Advisory workflow details, Award PDF generation scope), and confidence scores.",,,,,,,
,,,,,,,
KEY INTELLIGENCE APPLIED,,,,,,,
• Immutable Classification: Appeal vs Representation auto-set from parent closure clause on creation; cannot be changed later. RBIOS 2026 clause mapping to be confirmed.,,,,,,,
• Advisory Mechanism (RBIOS 2026 NEW): Full workflow — Issue Advisory → RE Response Deadline → RE Response → Complied/Not Complied → drives next AA decision (close as Settled or proceed to Award).,,,,,,,
• Compensation Cap Enforcement: Award amount validated against INR 30L consequential / INR 3L harassment; block save with clear error if exceeded. Caps configurable.,,,,,,,
"• Hearing Management Enhanced: Date, Venue, Parties Notified, full Adjournment History log, automated notices N days before, completion/adjourned marking.",,,,,,,
• Legal Cases (Sub-Judice): Track court/tribunal cases; sub-judice flag visible; AA cannot pass final Award without override + reason logged.,,,,,,,
• PNO Parallel Input + Appeal Filing: PNO can create appeals (with CMD approval captured) and manage NO Records; simultaneous input with BO/NBFCO allowed.,,,,,,,
• Bulk Close + Reopen: AA Reviewer can bulk-close Representations; AA Admin can reopen any closed Appeal/Representation (auto-assigned to AA DO).,,,,,,,
,,,,,,,
RECOMMENDED NEXT STEPS,,,,,,,
1. Review Verification sheet — highest priority clarification is exact RBIOS 2026 closure clause mapping for Appeal vs Representation classification and Advisory workflow details.,,,,,,,
"2. Prioritize Phase 1: Registration + immutable classification, core 5-role workflow routing, Advisory mechanism, Hearing management, Award cap validation, NO Record auto-creation, Legal Cases, PNO appeal creation with approval fields.",,,,,,,
"3. Workshop with CEPD + AA office to finalize clause master (2021 + 2026), Advisory templates, Award PDF format, and communication templates.",,,,,,,
4. Expand to full ~110 stories in grooming workshop; this set focuses on regulatory compliance (RBIOS 2026) and operational integrity paths.,,,,,,,
,,,,,,,
ASSUMPTIONS,,,,,,,
• RBI/CEPD will confirm full RBIOS 2026 clause mapping for AA classification before UAT (critical dependency).,,,,,,,
• Advisory mechanism is new in 2026; process workshop required before detailed design.,,,,,,,
• Award PDF generation uses template engine; digital signature for Award orders is out of Phase 1 scope (per BRD).,,,,,,,
• PNO-created appeals require CMD/Executive Director approval fields and document upload (captured in structured form).,,,,,,,
• MOM / Hearing actual conduct remains offline; CMS only schedules and records details/history.,,,,,,,
• BO/NBFCO (RBIO) is parallel input role only — not decision-making in AA workflow.,,,,,,,

--- Sheet: User Stories ---
US ID,Role,User Story (Connextra),BRD Reference,Priority,Story Points,Acceptance Criteria,Tags
AA-US-001,AA DO / AA Reviewer / PNO,"As an AA DO, AA Reviewer or PNO, I want to search for a closed or reopened parent complaint (by Complaint Number, Appellant Name, Mobile, Email, BO/NBFCO Office, Closure Clause, Category, Ground of Complaint) and create an Appeal/Representation from its detail page, so that every appeal starts from the correct parent record with pre-populated data.","F.1, 6.5.2 Registration & Classification, 6.3.5.1 AA DO Creating New",High,5,"• Search returns only closed/reopened complaints
• 'Create Appeal/Representation' button visible on eligible parent detail
• Pre-populated fields from parent (complainant, entity, closure clause)
• Mandatory fields validated on Save & Proceed
• Auto NO Record creation on success","Registration, Parent Link, Pre-populate"
AA-US-002,System,"As the system, I want to automatically classify a new Appeal/Representation as 'Appeal' (parent closure clause 15(1)(a/b) for Complainant or 15(1)(b) for RE, or 13(d,e,f,g)) or 'Representation' (other clauses) on Save & Proceed, display a prominent immutable badge (red APPEAL / blue REPRESENTATION), and prevent any user from changing the classification later, so that workflow, milestones, and closure options are correctly enforced from creation.","F.2, 6.3.4 Appeal vs Representation Classification Logic, 6.5.2, Business Rule 1",Critical,5,"• Classification set automatically from parent closure clause
• Prominent badge visible in grid and detail header
• Classification immutable after Save & Proceed (no edit possible)
• RBIOS 2026 clause mapping applied (to be confirmed by RBI)
• AA Reviewer can bulk-close Representations but not Appeals","Classification, Immutable, RBIOS 2026"
AA-US-003,System,"As the system, I want to auto-create a Nodal Officer (NO) Record on every Appeal/Representation registration, pre-populated with complainant details, entity details, and parent closure clause, with Summary, threaded Discussion, Attachments (DMS + upload), and Notes sub-tabs, so that entity-side correspondence starts organized and traceable.","F.3, 6.5.6 NODAL OFFICER RECORD, 5.2.1 Record Assignment",High,5,"• NO Record created automatically with key info from parent
• PNO/NO/Contact Person can manage Discussion, Attachments, Notes
• Threaded discussion visible to both AA and RE sides
• Attachments support direct upload + link from DMS
• Counter of status changes maintained for interaction history","NO Record, Auto-Creation, Entity Side"
AA-US-004,AA DO / AA Reviewer / PNO,"As an AA DO, AA Reviewer or PNO, I want to create Appeals/Representations from Email, Physical Letter, or Portal channels with identical data structures and mandatory fields (Previous Complaint Number, Category, Mode of Receipt, Subject, Complainant Details, Entity Details, CMD approval fields for PNO-created), so that intake is consistent regardless of source.","F.1, 6.3.5.1 REGISTRATION FIELDS, 6.5.2",High,3,"• Same form and validation rules across all channels
• PNO-created appeals require CMD/ED approval (Yes/No, Date, Remarks, document)
• Account/Card numbers masked (first + last 4 digits only)
• Supported attachments validated on upload
• Auto-assignment to AA DO (round-robin for Portal; manual for Email/Physical)","Multi-Channel, PNO Creation, Masking"
AA-US-005,AA DO,"As an AA DO, I want milestone-based edit access (Register + Process) with Next Possible Steps: Sent to AA Reviewer (manual select), Sent to PNO (auto), Hearing Scheduled, Sent to BO/NBFCO (select region), and Follow-up Process initiation after AA decision, so that I can fulfill data, route correctly, schedule hearings, and manage post-decision follow-up.","F.5, 6.3.5.1 ACTION BY AA DO, 6.3.7 Status Transitions",High,5,"• Only permitted statuses visible per milestone
• Sent to AA Reviewer requires manual Reviewer selection
• Sent to PNO auto-assigns from Entity master
• Hearing Scheduled captures Date, acceptance by parties, comments; triggers SMS+Email
• Follow-up tab allows creating related records assigned to PNO or BO","AA DO Workflow, Routing, Hearing, Follow-up"
