--- Sheet: Cover & Instructions ---
"RBI COMPLAINT MANAGEMENT SYSTEM 2.0
RBIO MODULE (RBI Ombudsman) - TRACEABLE BACKLOG",,,,,,,
,,,,,,,
,,,,,,,
"Prepared for: Gaurav Marwaha | Chief Product Engineering Officer, ReBIT | For RBI CEPD & DIT Review",,,,,,,
,,,,,,,
"Document Version: 1.0 | Generated: 2026-07-05 | Source BRD: v1.0 (June 24, 2026) | RB-IOS 2026 Effective July 1, 2026",,,,,,,
,,,,,,,
,,,,,,,
PURPOSE,,,,,,,
"This workbook transforms the RBIO BRD into a development-ready, testable backlog.",,,,,,,
It provides full traceability from BRD requirements → User Stories → Test Cases.,,,,,,,
,,,,,,,
SHEETS OVERVIEW,,,,,,,
"1. User Stories     : Granular Connextra-format stories with BRD refs, priority, acceptance criteria, tags.",,,,,,,
"2. Test Cases       : Exhaustive test cases (3-6 per story) covering happy path, negative, edge, boundary, security.",,,,,,,
3. Traceability     : Maps every major BRD section / FR / Gap / NFR to User Story IDs with coverage status.,,,,,,,
"4. Verification     : Adversarial gap analysis, assumptions, missing NFRs/edge cases, confidence score.",,,,,,,
,,,,,,,
KEY DESIGN PRINCIPLES APPLIED,,,,,,,
"• Decomposition: High-level BRD bullets broken into smallest shippable units (e.g., separate stories for each status transition, each role action, compensation validation, OCR flow, digital signature enforcement).",,,,,,,
"• Intelligence: Added implied requirements from RBI context (DPDP PII handling, concurrent user safety on assignment, scheme transition logic for 2021 vs 2026 complaints on reopen, 7-day upload link security).",,,,,,,
"• Compliance Focus: Strong coverage of RB-IOS 2026 (compensation caps ₹30L/₹3L, Advisory, Award, implead, 90-day window, closure clause role matrix, scheme-aware reopen).",,,,,,,
"• Test Rigor: Every story has negative/permission tests + edge cases (user on leave, threshold overflow, no email for closure, link expiry, OCR on handwritten).",,,,,,,
,,,,,,,
TRACEABILITY IDs,,,,,,,
User Story: RBIO-US-XXX,,,,,,,
Test Case : RBIO-TC-XXXX (linked to parent US),,,,,,,
,,,,,,,
RECOMMENDED NEXT STEPS,,,,,,,
